Player,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
David Pastrnak,BOS,RW,34,28,20,48,12,26,134,6,13,5,0,0,31,11
Jack Eichel,BUF,C,34,23,25,48,14,16,123,4,6,9,0,0,22,22
Leon Draisaitl,EDM,C,36,21,36,57,-6,10,109,6,6,18,0,0,15,11
Alex Ovechkin,WAS,LW,35,21,12,33,-6,16,165,1,8,2,0,0,100,13
Nathan MacKinnon,COL,C,33,20,31,51,6,6,157,2,7,10,0,0,25,13
Artemi Panarin,NYR,LW,33,20,23,43,13,12,98,3,6,7,0,0,13,6
Connor McDavid,EDM,C,36,20,39,59,0,18,112,2,8,18,0,0,24,14
Auston Matthews,TOR,C,34,19,15,34,5,6,124,2,5,5,0,0,18,22
Sebastian Aho,CAR,LW,33,18,12,30,9,8,100,3,4,4,3,1,23,8
Anthony Duclair,OTT,LW,34,18,7,25,0,16,106,1,3,1,1,0,29,18
Patrick Kane,CHI,RW,34,18,22,40,-2,28,122,2,5,8,0,0,13,9
Brad Marchand,BOS,LW,34,18,32,50,18,45,90,4,3,12,0,0,27,7
Jake Guentzel,PIT,LW,33,17,19,36,6,14,104,3,4,4,0,0,43,16
Jean-Gabriel Pageau,OTT,C,34,16,8,24,18,18,78,3,0,3,3,0,61,25
Mark Scheifele,WPG,C,33,15,20,35,4,26,78,5,5,4,0,0,21,22
Max Pacioretty,VGK,LW,36,15,19,34,4,19,147,1,4,8,0,0,47,19
David Perron,STL,RW,35,15,18,33,-1,26,82,5,5,11,0,0,39,8
James Neal,EDM,RW,36,15,7,22,-16,8,84,2,10,4,0,0,46,10
Jakub Vrana,WAS,RW,35,15,14,29,8,14,104,3,0,6,0,0,13,10
Brendan Gallagher,MON,RW,33,14,12,26,6,12,126,0,0,2,0,0,33,23
Evander Kane,SJ,LW,32,14,12,26,-3,75,108,4,7,3,2,0,70,11
Brayden Schenn,STL,LW,35,14,12,26,-5,25,70,1,6,4,0,0,57,5
